province_name,region,group_code,group_name,tong_sl,tong_dt,so_don,so_dai_ly
Thái Bình,Miền Bắc,CITYBIKE_P,Xe phổ thông,422.0,567234389.0,16,7
Thái Bình,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,26.0,29954997.0,7,5
Thái Bình,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,13.0,8774996.0,3,3
Thái Nguyên,Miền Bắc,CITYBIKE_P,Xe phổ thông,765.0,1115930656.0,19,8
Thái Nguyên,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,95.0,119963216.0,9,5
Thái Nguyên,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,109.0,85832631.0,5,2
Thái Nguyên,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,10.0,28226509.0,4,2
Thái Nguyên,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,6.0,10015554.0,2,2
Thân Nhân Trung - TT Bích Động - Việt Yên - Bắc Giang,Miền Bắc,CITYBIKE_P,Xe phổ thông,35.0,43000000.0,2,1
Thân Nhân Trung - TT Bích Động - Việt Yên - Bắc Giang,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,9.0,9750000.0,2,1
Thân Nhân Trung - TT Bích Động - Việt Yên - Bắc Giang,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,7.0,9000000.0,1,1
Thủ Dầu Một,Miền Bắc,CITYBIKE_P,Xe phổ thông,9.0,20750000.0,2,1
Thừa Thiên Huế,Miền Trung,CITYBIKE_P,Xe phổ thông,81.0,128130152.0,2,1
Thừa Thiên Huế,Miền Trung,KIDBIKE_1,Xe trẻ em nhóm 1,62.0,79691638.0,2,1
Thừa Thiên Huế,Miền Trung,SPORTBIKE_S,Xe thể thao thép,4.0,9631108.0,1,1
Tuyên Quang,Miền Bắc,CITYBIKE_P,Xe phổ thông,54.0,81733313.0,6,4
Tuyên Quang,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,31.0,38251379.0,6,4
Tuyên Quang,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,39.0,21569440.0,3,2
Tuyên Quang,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,8.0,14494440.0,2,2
Tuyên Quang,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,6.0,14400000.0,1,1
Tây Bình Cách - Xã Đông Xá - Huyện Đông Hưng - Thái Bình.,Miền Bắc,CITYBIKE_P,Xe phổ thông,15.0,17840000.0,1,1
Tây Bình Cách - Xã Đông Xá - Huyện Đông Hưng - Thái Bình.,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,10.0,12400000.0,1,1
Tây Bình Cách - Xã Đông Xá - Huyện Đông Hưng - Thái Bình.,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,10.0,10660000.0,1,1
Tây Bình Cách - Xã Đông Xá - Huyện Đông Hưng - Thái Bình.,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,3.0,1470000.0,1,1
Tĩnh Thanh Hoá,Miền Bắc,CITYBIKE_P,Xe phổ thông,33.0,40230000.0,1,1
Tĩnh Thanh Hoá,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,3.0,9667929.0,1,1
Tĩnh Thanh Hoá,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,5.0,5410000.0,1,1
Tĩnh Thanh Hoá,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,10.0,5000000.0,1,1
